Job Title,Job Description,Salary,Applying Link,Company,Location
Software Engineering Lead,"This job is with LexisNexis Legal & Professional®, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Software Engineering Lead Are you interested in bringing your technical expertise to projects? Are you a detail-oriented paralegal with a 'can do' attitude? About our Team LexisNexis Legal & Professional, which serves customers in more than 150 countries with 11,300 employees worldwide, is p…",Not specified,https://www.adzuna.in/land/ad/5785772049?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=7F6A7535561D65F701913F668550AD2F4A74B830,LexisNexis Legal & Professional®,"Gurgaon, Haryana"
Senior Software Engineer,"This job is with Morningstar, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Senior Software Engineer (Front End-Focused Full Stack, .NET & AWS) - Workplace Solutions Our Team: Technology drives our business. Our team is made up of talented software engineers, infrastructure engineers, leaders and UX professionals. We care about technology as a craft and a differentiator. We bring our gl…",Not specified,https://www.adzuna.in/land/ad/5785771302?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=BB26A81F3760095064C5415CC4B79B56A503C716,Morningstar,"Mumbai, Maharashtra"
Software Engineering QA,"This job is with Kyndryl, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Who We Are At Kyndryl, we run and reimagine the mission-critical technology systems that drive advantage for the world's leading businesses. We are at the heart of progress; with proven expertise and a continuous flow of AI-powered insight, enabling smarter decisions, faster innovation, and a lasting competitive edg…",Not specified,https://www.adzuna.in/land/ad/5790410289?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=16CAF85281A2081AF9EE992623E8C19885410DB5,Kyndryl,India
Senior Software Engineer,"This job is with Kyndryl, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Who We Are At Kyndryl, we run and reimagine the mission-critical technology systems that drive advantage for the world's leading businesses. We are at the heart of progress; with proven expertise and a continuous flow of AI-powered insight, enabling smarter decisions, faster innovation, and a lasting competitive edg…",Not specified,https://www.adzuna.in/land/ad/5790410640?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=744B513B3580CA1F41CC75A1B7DB87B61FC4B1A4,Kyndryl,"Pune, Maharashtra"
Manager of Software Engineering,"This job is with Morningstar, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Overview As an Engineering Manager, you will play a pivotal role in enabling a stream-aligned team focused on delivering a successful migration of datasets to a newly architected and designed pipeline. You will work closely with the Lead Software Development Engineer to ensure the team is empowered, autonomo…",Not specified,https://www.adzuna.in/land/ad/5785771096?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=0C35073CF25B3FE699A40B91C315CA69AB1DA124,Morningstar,"Mumbai, Maharashtra"
Software Engineering Lead,"This job is with RX Global, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. About Team: RX Global aims to create unforgettable experiences for attendees and exhibitors through organizing events. Innovation, creativity, and collaboration drive the company to offer exceptional services to clients. About the role: Lead teams. Build great software. Deliver real impact. We're looking for a Sof…",Not specified,https://www.adzuna.in/land/ad/5785772514?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=05B5915617FC1C0021436607ED3CB0F500862D97,RX Global,"Chennai, Tamil Nadu"
Senior Software Engineer,"This job is with Moody's, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At Moody's, we unite the brightest minds to turn today’s risks into tomorrow’s opportunities. We do this by striving to create an inclusive environment where everyone feels welcome to be who they are—with the freedom to exchange ideas, think innovatively, and listen to each other and customers in meaningful ways. Mo…",Not specified,https://www.adzuna.in/land/ad/5790410126?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=5C9A810397E255431632958B5A05174B7E8AEF19,Moody's,"Bangalore, Karnataka"
Staff Software Engineer,"This job is with Moody's, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At Moody's, we unite the brightest minds to turn today’s risks into tomorrow’s opportunities. We do this by striving to create an inclusive environment where everyone feels welcome to be who they are—with the freedom to exchange ideas, think innovatively, and listen to each other and customers in meaningful ways. Mo…",Not specified,https://www.adzuna.in/land/ad/5785772373?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=87B25FA49F18B70FA573FC340E87D4902F3A9C0B,Moody's,"Noida, Gautam Buddha Nagar"
Senior Software Engineer,"This job is with ABB, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At ABB, we help industries run leaner and cleaner—and every person here makes that happen. You’ll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and help run what runs the world. This Position reports to: Digital Solution Engineering Manager What we believe in ABB's Process …",Not specified,https://www.adzuna.in/land/ad/5790410697?se=SpaFLM998RG1-IwfRWwy_Q&utm_medium=api&utm_source=d6220ea2&v=D09A8225F4877B7A8A41D0E20F173854D769B846,ABB,"Bangalore, Karnataka"
Data Scientist,"This job is with HP, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Data Scientist Description - Job Summary • This role is responsible for analyzing and interpreting complex data sets using statistical techniques to identify trends, patterns, and insights that can be used to form business decisions and improve organizational performance. The role designs and develops methods, processes,…",Not specified,https://www.adzuna.in/land/ad/5785772722?se=CJ4sLs998RGNqvBiBxieKA&utm_medium=api&utm_source=d6220ea2&v=9AFBA672DB42E4228EF6D90D20D288136C88D671,HP,"Chennai, Tamil Nadu"
